ApproachID,SignalID,DirectionTypeID,Description,MPH,ProtectedPhaseNumber,IsProtectedPhaseOverlap,PermissivePhaseNumber,VersionID,IsPermissivePhaseOverlap
1,1001,1,NBT Ph8,NULL,8,0,NULL,983,0
3,1003,1,NBT Ph2,35,2,0,NULL,985,0
5,1005,1,Northbound Phase 2,NULL,2,0,NULL,987,0
6,1006,1,NB Phase 2,NULL,2,0,NULL,988,0
7,1007,1,Northbound Phase 2,NULL,2,0,NULL,989,0
8,1008,1,NB Phase 2,NULL,2,0,NULL,990,0
11,1010,3,Eastbound Phase 2,NULL,2,0,NULL,992,0
13,1010,4,Westbound Phase 6,NULL,6,0,NULL,992,0
14,1010,2,Southbound Phase 4,NULL,4,0,NULL,992,0
15,1010,1,Northbound Phase 8,NULL,8,0,NULL,992,0
18,1011,1,NB Ph 8,NULL,8,0,NULL,993,0
19,1012,3,EB Ph4,NULL,4,0,NULL,994,0
20,1013,3,EB Ph4,NULL,4,0,NULL,995,0
21,1016,3,EB Ph2,NULL,2,0,NULL,1875,0
22,1017,1,NB Ph2,NULL,2,0,NULL,996,0
24,1019,1,NB Phase2,NULL,2,0,NULL,998,0
25,1020,1,NB Phase2,NULL,2,0,NULL,999,0
26,1021,2,SBL Ph1,NULL,1,0,NULL,1000,0
27,1022,1,NBT Ph2,NULL,2,0,NULL,1001,0
29,1024,1,Northbound Phase 2,NULL,2,0,NULL,1002,0
30,1025,1,Northbound Phase 2,NULL,2,0,NULL,1003,0
31,1025,3,Eastbound Phase 4,NULL,4,0,NULL,1003,0
32,1025,2,Southbound Phase 6,NULL,6,0,NULL,1003,0
33,1025,4,Westbound Phase 8,NULL,8,0,NULL,1003,0
34,1026,1,NB Phase2,NULL,2,0,NULL,1004,0
35,1028,1,Northbound Phase 8,NULL,8,0,NULL,1878,0
36,1029,1,NB Phase2,NULL,2,0,NULL,1005,0
37,1030,1,NB Phase2,NULL,2,0,NULL,1879,0
38,1031,2,SBT Phase 2,NULL,2,0,NULL,1006,0
40,1033,1,NB P2,NULL,2,0,NULL,712,0
41,1034,3,Eastbound Phase 5,NULL,5,1,6,713,0
42,1035,3,EB Ph2,NULL,2,0,NULL,714,0
43,1036,3,EB Phase4,NULL,4,0,NULL,1840,0
45,1038,4,WB Phase1,NULL,1,0,6,1841,0
46,1039,1,NB Phase2,NULL,2,0,NULL,1842,0
47,1040,3,EB Phase2,NULL,2,0,NULL,1843,0
48,1041,1,NB Phase2,NULL,2,0,NULL,1844,0
49,1042,1,NB Phase2,NULL,2,0,NULL,1845,0
50,1043,1,NB Phase2,NULL,2,0,NULL,1846,0
51,1045,1,NB Phase2,NULL,2,0,NULL,1848,0
52,1046,1,Northbound Phase 2,NULL,2,0,NULL,716,0
53,1047,1,NB Phase2,NULL,2,0,NULL,717,0
54,1048,3,EB Phase2,NULL,2,0,NULL,718,0
55,1049,1,NB Ph8,NULL,8,0,NULL,719,0
56,1051,1,Northbound Phase 4,NULL,4,0,NULL,720,0
57,1052,1,Northbound Phase 2,NULL,2,0,NULL,721,0
58,1053,1,Northbound Phase 2,NULL,2,0,NULL,722,0
59,1054,1,Northbound Phase 2,NULL,2,0,NULL,723,0
60,1055,1,NB Ph4,NULL,4,0,NULL,724,0
61,1056,1,NB/SB Phase4,NULL,4,0,NULL,1544,0
62,1057,1,Northbound Phase 2,30,2,0,NULL,1545,0
63,1058,1,Northbound Phase 2,NULL,2,0,NULL,725,0
